2026-08-19 17:34:00,000 [INFO] Bat dau thu thap du lieu moi 30s cho target(s): google. Ghi vao 'network_quality_data1.csv'. Nhan Ctrl+C de dung.
2026-08-19 17:34:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:34:00+07:00', 'target_id': 'google', 'rtt_ms': 42.75, 'rtt_min_ms': 42.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.667, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 42.111, 'tcp_connect_ms': 62.885, 'tls_handshake_ms': 103.483, 'ttfb_ms': 176.325, 'http_latency_ms': 512.97, 'http_status_code': 200}
2026-08-19 17:34:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:34:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 22.75, 'tcp_connect_ms': 67.251, 'tls_handshake_ms': 94.649, 'ttfb_ms': 189.707, 'http_latency_ms': 533.484, 'http_status_code': 200}
2026-08-19 17:35:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:35:00+07:00', 'target_id': 'google', 'rtt_ms': 42.75, 'rtt_min_ms': 42.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.667, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 36.468, 'tcp_connect_ms': 47.795, 'tls_handshake_ms': 81.96, 'ttfb_ms': 147.094, 'http_latency_ms': 414.376, 'http_status_code': 200}
2026-08-19 17:35:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:35:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 45.56, 'tcp_connect_ms': 53.37, 'tls_handshake_ms': 86.247, 'ttfb_ms': 173.743, 'http_latency_ms': 466.415, 'http_status_code': 200}
2026-08-19 17:36:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:36:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 30.643, 'tcp_connect_ms': 58.606, 'tls_handshake_ms': 84.364, 'ttfb_ms': 169.619, 'http_latency_ms': 467.339, 'http_status_code': 200}
2026-08-19 17:36:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:36:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 21.434, 'tcp_connect_ms': 53.692, 'tls_handshake_ms': 82.295, 'ttfb_ms': 165.369, 'http_latency_ms': 453.105, 'http_status_code': 200}
2026-08-19 17:37:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:37:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 19.551, 'tcp_connect_ms': 60.415, 'tls_handshake_ms': 85.512, 'ttfb_ms': 191.498, 'http_latency_ms': 497.294, 'http_status_code': 200}
2026-08-19 17:37:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:37:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 28.752, 'tcp_connect_ms': 47.836, 'tls_handshake_ms': 79.408, 'ttfb_ms': 150.414, 'http_latency_ms': 413.168, 'http_status_code': 200}
2026-08-19 17:38:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:38:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 39.794, 'tcp_connect_ms': 52.958, 'tls_handshake_ms': 81.89, 'ttfb_ms': 164.77, 'http_latency_ms': 451.125, 'http_status_code': 200}
2026-08-19 17:38:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:38:30+07:00', 'target_id': 'google', 'rtt_ms': 42.75, 'rtt_min_ms': 42.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.667, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 30.235, 'tcp_connect_ms': 48.827, 'tls_handshake_ms': 77.486, 'ttfb_ms': 163.324, 'http_latency_ms': 427.69, 'http_status_code': 200}
2026-08-19 17:39:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:39:00+07:00', 'target_id': 'google', 'rtt_ms': 44.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 46.0, 'jitter_ms': 1.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 22.022, 'tcp_connect_ms': 63.056, 'tls_handshake_ms': 90.811, 'ttfb_ms': 191.246, 'http_latency_ms': 517.254, 'http_status_code': 200}
